Country Name;Country Code;Series Name;Series Code;1998 [YR1998];1999 [YR1999];2000 [YR2000];2001 [YR2001];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2021 [YR2021]
British Virgin Islands;VGB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Brunei Darussalam;BRN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;50.47;55.82;67.35;69.53;67.12;69.29;68.80;70.17;71.72;67.85;78.30;72.78;67.41;69.51;70.16;68.04;68.18;52.21;49.58;49.57;51.93;57.95;57.36;80.17
Bulgaria;BGR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;41.94;42.75;36.22;34.88;33.65;34.42;40.96;42.53;46.98;52.36;52.48;42.22;50.11;58.80;60.35;64.58;64.60;63.80;63.87;66.99;65.70;63.93;56.12;61.33
Burkina Faso;BFA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;12.81;8.35;8.84;9.04;8.87;9.22;10.88;9.84;10.96;10.35;10.15;13.79;20.52;26.20;26.60;27.08;26.93;26.11;25.92;26.45;28.08;27.62;;
Burundi;BDI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;8.00;7.58;6.32;5.18;4.69;6.38;6.95;6.20;7.30;6.80;10.50;6.60;9.70;8.80;9.70;9.10;8.70;6.42;6.38;6.03;5.69;5.17;4.55;5.00
Cabo Verde;CPV;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;22.80;20.98;27.01;29.81;32.54;31.36;32.00;37.78;45.13;36.02;36.90;31.08;32.67;35.52;40.43;40.49;40.36;44.91;44.23;45.92;48.95;50.65;24.85;24.62
Cambodia;KHM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;31.24;40.54;49.85;52.54;55.42;56.52;63.61;64.08;68.59;65.33;65.54;49.22;54.08;54.08;57.89;62.39;62.60;61.72;61.28;60.68;61.60;61.09;61.04;64.60
Cameroon;CMR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;21.98;19.43;24.86;25.26;22.99;19.44;20.55;22.25;24.18;26.98;27.01;19.58;22.37;24.23;23.88;23.64;23.61;20.99;18.95;18.35;18.74;19.85;15.24;16.71
Canada;CAN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;40.03;41.86;44.21;42.04;40.06;36.87;37.33;36.86;35.40;34.23;34.40;28.52;29.17;30.68;30.35;30.33;31.74;31.85;31.50;31.45;32.28;31.91;29.36;30.74
Cayman Islands;CYM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;74.02;71.59;69.45;60.13;
Central African Republic;CAF;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;22.66;19.22;20.37;17.16;15.96;18.24;14.00;13.36;14.32;14.12;11.00;9.84;11.63;13.13;11.55;14.97;16.68;17.07;14.82;17.26;15.94;15.76;15.17;14.19
Chad;TCD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;18.49;18.32;16.89;14.67;12.69;24.63;51.01;47.98;47.58;44.50;42.69;35.14;36.85;38.88;38.47;33.57;34.16;30.00;26.30;33.87;36.19;36.74;26.72;38.75
Channel Islands;CHI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;25.14;28.31;30.12;31.85;32.26;35.06;39.69;40.18;43.87;45.13;41.16;37.12;37.90;37.69;33.85;32.09;33.00;29.19;27.92;28.33;28.53;27.83;31.53;31.89
China;CHN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;18.34;18.16;20.89;20.31;22.64;26.98;31.06;33.83;36.04;35.43;32.60;24.75;27.19;26.57;25.49;24.60;23.51;21.35;19.58;19.69;19.11;18.41;18.59;20.04
Colombia;COL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;15.01;18.35;15.92;15.39;14.82;16.58;16.77;16.97;17.73;16.43;18.11;16.42;16.34;19.28;18.81;18.09;16.63;15.65;14.72;15.15;15.90;15.87;13.49;16.41
Comoros;COM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;8.84;8.84;8.84;8.84;8.84;8.84;8.84;8.84;8.84;8.98;8.22;9.31;9.64;9.96;8.95;9.05;9.68;10.14;10.67;11.90;12.91;12.77;5.67;10.81
Congo, Dem. Rep.;COD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29.79;23.64;11.45;11.99;15.67;24.00;22.73;22.94;21.70;39.07;39.03;26.81;41.11;39.52;30.80;36.45;36.83;27.73;23.96;35.25;32.55;25.87;28.60;40.39
Congo, Rep.;COG;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;76.28;72.29;80.30;77.42;81.52;80.81;80.53;75.01;77.46;68.49;73.40;64.48;68.53;73.61;58.08;52.93;53.15;42.73;45.00;58.06;71.03;73.79;57.01;58.46
Costa Rica;CRI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;43.96;42.56;42.93;40.51;39.22;40.67;42.21;43.46;43.31;40.58;38.81;34.63;32.83;32.47;31.65;30.59;31.36;30.00;31.26;32.76;33.74;34.33;31.54;36.13
Cote d'Ivoire;CIV;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;27.18;28.74;27.79;27.47;31.36;28.74;30.14;31.88;32.84;30.49;31.01;35.41;33.50;35.28;34.98;29.16;28.16;27.36;24.60;24.92;22.64;23.78;21.57;22.96
Croatia;HRV;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29.14;30.15;35.02;37.11;35.85;35.54;36.53;36.37;37.56;37.53;36.05;32.29;35.66;38.22;38.93;39.76;42.69;45.68;46.86;49.11;49.39;50.59;41.48;51.28
Cuba;CUB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;14.25;14.54;14.13;13.23;11.53;12.95;16.02;21.02;18.71;20.34;20.57;17.46;22.57;25.10;25.51;24.10;22.08;17.15;14.98;14.55;14.52;12.21;8.17;34.89
Curacao;CUW;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;59.50;63.39;60.85;69.47;60.68;55.54;72.07;79.88;73.23;74.93;67.51;61.97;58.65;;;;
Cyprus;CYP;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;68.70;66.93;69.96;68.21;62.41;57.76;56.89;55.69;53.44;53.26;50.08;48.72;50.33;53.45;55.28;61.30;65.95;70.02;70.48;73.84;74.97;76.49;81.39;86.62
Czechia;CZE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;42.05;42.76;48.09;48.86;45.00;46.73;57.06;61.81;64.88;66.10;62.95;58.35;65.54;70.82;75.65;76.06;81.95;80.56;79.11;79.03;76.94;73.88;69.95;72.73
Denmark;DNK;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;37.19;39.35;44.85;45.55;45.70;43.84;43.93;47.45;50.73;51.48;54.18;47.13;50.52;53.82;54.63;54.83;54.61;55.42;53.43;55.08;56.56;58.65;54.93;59.66
Djibouti;DJI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;156.54;158.37;145.42;103.76;150.10;156.62;166.72;115.77;
Dominica;DMA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;37.01;35.09;34.21;30.25;35.57;37.58;32.59;38.83;52.44;47.32;44.63;40.88;29.19;;;
Dominican Republic;DOM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;34.31;34.98;35.50;31.89;30.72;42.15;41.15;28.33;28.22;26.76;23.91;21.03;22.68;24.19;24.58;25.17;25.15;23.76;23.91;23.68;23.55;23.07;18.30;21.75
Ecuador;ECU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;17.89;26.38;32.13;23.22;21.49;22.60;24.55;27.62;30.33;31.93;34.16;25.25;27.89;31.12;30.16;28.64;28.05;21.26;19.50;20.83;22.60;23.05;21.86;26.19
Egypt, Arab Rep.;EGY;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;16.21;15.05;16.20;17.48;18.32;21.80;28.23;30.34;29.95;30.25;33.04;24.96;21.35;20.57;16.40;17.02;14.24;13.18;10.35;15.82;18.91;17.50;13.11;11.10
El Salvador;SLV;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24.39;24.40;26.83;25.01;25.51;25.92;25.91;25.27;25.94;25.57;26.74;23.95;26.95;28.98;28.57;29.72;29.55;29.49;28.46;29.03;28.93;29.96;25.63;29.55
Equatorial Guinea;GNQ;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;87.42;82.33;88.62;89.22;74.34;85.76;75.10;71.90;67.65;65.96;56.66;51.41;58.86;59.61;51.13;43.49;55.47
Eritrea;ERI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;14.83;9.53;9.67;10.81;11.78;6.44;5.78;6.17;6.90;5.77;4.43;4.53;6.38;18.15;;;;;;;;;;
Estonia;EST;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;73.63;69.87;61.63;61.25;57.96;57.16;61.08;65.44;63.27;62.60;66.39;60.86;75.05;86.60;86.21;84.57;81.87;77.44;77.01;75.81;74.32;73.88;69.27;78.30
Eswatini;SWZ;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;67.17;65.00;71.27;73.97;81.04;83.77;71.54;56.78;55.84;61.07;52.95;49.59;46.47;34.83;36.69;40.53;43.85;43.11;44.06;43.51;40.44;45.65;44.92;45.05
Ethiopia;ETH;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;16.69;13.77;12.48;11.64;9.36;7.81;7.63;8.37;7.94;7.13;7.59
Faroe Islands;FRO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;46.65;48.76;51.34;51.56;49.06;46.77;43.70;42.04;41.80;42.13;45.97;43.66;46.72;52.43;52.56;55.44;53.41;53.22;54.54;56.36;52.82;55.61;47.77;52.69
Fiji;FJI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;60.94;61.20;65.39;60.95;61.80;60.27;54.20;54.07;50.08;48.60;57.12;49.44;57.43;59.28;61.11;56.87;52.33;48.84;46.65;46.02;47.75;48.13;27.52;27.31
Finland;FIN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;37.44;37.60;42.03;39.76;39.14;37.32;38.62;40.27;43.07;43.83;44.90;36.08;38.41;38.90;38.81;38.02;36.48;35.41;34.81;37.55;38.47;39.88;35.92;39.42
France;FRA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;26.13;26.08;28.59;28.27;27.53;26.11;26.47;27.03;27.94;27.85;28.12;24.84;26.79;28.42;29.20;29.36;29.67;30.59;30.25;30.95;31.71;31.59;27.45;29.45
French Polynesia;PYF;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;3.95;4.87;4.70;;;;;;;;;;;;;;;;;19.56;;20.20;11.19;
Gabon;GAB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;47.41;59.61;69.03;54.28;52.61;51.93;55.04;60.01;60.57;58.53;62.20;52.17;57.66;61.74;60.95;57.36;44.52;46.03;44.04;50.23;54.30;51.43;47.50;55.80
Gambia, The;GMB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;25.31;24.40;25.80;21.82;27.16;31.09;20.59;19.90;21.03;18.03;14.48;15.75;14.67;16.86;19.84;18.98;21.84;19.60;15.91;16.79;21.73;18.84;9.62;6.47
Georgia;GEO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;16.46;19.06;22.99;24.46;29.23;31.46;31.13;33.26;32.47;30.82;28.26;29.55;32.95;34.69;36.52;41.72;39.93;40.86;40.80;46.53;50.56;54.82;37.29;43.19
Germany;DEU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;26.41;26.96;30.85;31.84;32.59;32.81;35.71;38.06;41.43;43.32;43.80;38.12;42.57;45.06;46.31;45.42;45.62;46.92;46.07;47.16;47.31;46.67;43.01;47.03
Ghana;GHA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;33.87;32.08;48.80;45.23;42.62;40.68;39.30;36.45;25.19;24.53;25.03;29.29;29.48;36.94;40.36;25.44;28.23;33.83;31.19;33.88;33.45;37.45;20.72;29.91
Gibraltar;GIB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Greece;GRC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;16.30;19.26;23.72;22.79;20.11;18.54;20.71;21.31;21.17;22.52;23.36;18.98;21.80;25.49;28.74;30.21;32.49;32.13;31.29;35.03;38.99;40.11;31.99;40.87
Greenland;GRL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;37.80;39.29;41.06;37.80;36.20;36.98;30.73;34.06;38.00;37.51;37.70;38.47;37.58;40.77;40.69;44.45;41.08;36.36;
Grenada;GRD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Guam;GUM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;21.27;17.68;21.87;22.69;23.71;22.86;20.89;17.36;17.09;18.62;19.07;19.50;18.84;18.07;18.96;18.98;19.24;22.04;6.30;3.04
Guatemala;GTM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;18.17;19.00;20.20;28.66;26.73;26.18;27.42;25.45;25.34;25.98;25.12;24.37;26.23;27.07;25.27;22.00;21.74;19.83;18.75;18.50;18.17;17.61;16.33;17.79
Guinea;GIN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;21.29;21.64;24.52;28.58;26.48;25.96;24.63;34.79;23.82;23.55;21.64;22.52;30.34;32.60;33.14;26.47;26.69;21.50;29.37;44.66;40.21;35.04;64.32;64.32
Guinea-Bissau;GNB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;14.44;24.86;21.76;21.19;17.83;18.68;18.46;16.15;12.85;20.19;19.85;18.85;14.91;25.67;15.48;18.26;20.21;27.54;26.51;27.77;25.28;20.29;14.39;
Guyana;GUY;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;95.93;96.51;96.08;92.87;92.30;89.68;95.56;84.62;;;;;;;;;;;;;;;;
Haiti;HTI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;9.90;12.25;7.35;7.03;6.95;9.73;8.59;8.42;9.17;8.18;8.75;8.92;8.57;10.17;9.66;10.51;10.98;11.78;11.53;11.07;10.82;11.71;7.65;7.11
Honduras;HND;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;57.80;52.93;53.97;51.38;52.73;54.09;58.42;59.01;56.05;53.51;51.33;39.53;45.76;51.26;50.90;47.94;47.56;45.17;42.71;43.09;41.45;39.92;35.09;38.46
Hong Kong SAR, China;HKG;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;110.83;112.72;126.03;122.77;132.08;150.78;167.78;177.45;185.19;186.41;193.42;178.14;205.32;212.85;215.85;221.61;213.09;195.90;187.01;188.90;188.34;177.66;176.30;203.52
Hungary;HUN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;52.93;55.64;66.86;64.88;58.14;56.34;59.56;62.52;73.78;77.82;79.18;74.22;81.11;86.08;85.88;85.41;87.12;87.53;86.40;85.92;83.76;81.55;78.73;81.55
Iceland;ISL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;33.77;32.46;32.13;36.94;35.52;32.62;32.41;30.36;30.41;32.84;40.30;48.72;51.75;54.55;54.93;53.25;51.52;51.65;47.48;45.73;46.63;44.36;34.45;38.20
India;IND;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;11.02;11.45;13.00;12.56;14.26;14.95;17.86;19.61;21.27;20.80;24.10;20.40;22.40;24.54;24.53;25.43;22.97;19.81;19.16;18.79;19.93;18.69;18.71;21.40
Indonesia;IDN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;52.97;35.51;40.98;39.03;32.69;30.48;32.22;34.07;31.03;29.44;29.81;24.16;24.30;26.33;24.59;23.92;23.67;21.16;19.09;20.18;21.00;18.59;17.27;21.56
Iran, Islamic Rep.;IRN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;12.68;19.29;21.47;19.30;24.41;24.63;25.27;30.33;29.87;28.84;26.58;22.71;24.40;24.93;22.48;25.18;22.83;18.72;21.16;22.74;30.22;23.48;19.42;22.84
Iraq;IRQ;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;77.90;77.63;75.70;65.27;70.57;77.39;56.27;54.35;51.03;45.90;50.33;39.40;39.42;44.42;44.51;39.66;38.94;34.51;28.11;33.92;40.80;38.05;27.22;37.65
Ireland;IRL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;84.32;86.46;94.39;95.22;90.45;80.84;80.48;79.53;79.03;80.84;84.33;93.56;103.24;103.26;104.42;104.01;110.12;122.10;121.70;121.02;122.78;127.88;133.34;134.41
Isle of Man;IMN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Israel;ISR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;27.61;31.62;34.60;30.40;31.85;33.49;37.86;39.51;39.63;39.37;37.77;32.54;34.16;34.76;35.31;33.24;31.87;31.17;29.95;29.24;29.89;29.30;27.68;29.46
Italy;ITA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24.06;23.20;25.63;25.65;24.41;23.30;24.01;24.60;26.17;27.36;26.86;22.40;25.07;26.87;28.38;28.63;29.11;29.72;29.33;30.73;31.35;31.60;29.44;32.67
Jamaica;JAM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;38.43;39.04;38.79;35.56;32.76;36.61;37.54;35.27;40.13;39.73;41.94;34.48;31.34;30.37;30.18;30.58;31.25;29.92;31.81;34.66;38.56;38.04;24.09;27.58
Japan;JPN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;10.37;9.81;10.46;10.08;10.86;11.47;12.79;13.82;15.66;17.29;17.24;12.42;14.92;14.77;14.41;15.78;17.42;17.44;16.06;17.59;18.33;17.45;15.56;18.43
Jordan;JOR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;44.80;43.31;41.83;42.13;47.42;47.37;52.19;52.70;53.87;54.23;56.05;45.08;47.00;46.55;45.23;41.30;42.13;36.59;34.05;34.37;34.80;35.94;23.64;30.31
Kazakhstan;KAZ;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;30.34;42.46;56.60;45.90;46.99;48.42;52.50;53.19;50.98;49.31;57.15;41.84;44.24;46.46;44.11;38.62;39.34;28.52;31.84;32.40;37.63;36.44;30.53;33.55
Kenya;KEN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;20.17;20.83;21.59;22.93;24.90;24.09;26.61;28.51;22.98;21.92;22.67;18.77;20.12;21.55;19.86;17.79;16.47;15.13;13.25;12.74;12.54;11.43;9.64;10.57
Kiribati;KIR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;16.95;18.77;11.84;15.68;19.41;17.62;12.18;14.34;10.40;16.08;14.71;14.96;12.32;14.28;13.94;11.99;13.55;15.70;19.22;15.70;10.77;18.27;12.72;12.70
Korea, Dem. People's Rep.;PRK;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Korea, Rep.;KOR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;39.54;32.59;33.94;31.79;29.77;31.40;36.75;35.28;35.63;37.39;47.64;45.19;47.10;53.34;54.09;51.29;47.83;42.99;40.13;40.93;41.71;39.28;36.36;42.04
Kosovo;XKX;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;17.19;19.23;21.67;24.95;24.52;23.00;23.53;22.45;23.83;27.33;29.05;29.31;21.70;33.41
